Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2018-08-06,2121.65,2121.0,2137.4,2106.1,2114.5,2114.3,2121.83,1436158,3047281357.0,83966,715425,49.82,8,2018,1912.340105553777,-0.003464284872622625,Slight or No change
HDFCBANK,EQ,2018-08-07,2114.3,2125.0,2134.5,2108.0,2133.8,2130.9,2122.33,1857114,3941407413.0,90909,1000787,53.89,8,2018,1913.1065678102752,0.007851298302038456,Slight or No change
HDFCBANK,EQ,2018-08-08,2130.9,2135.85,2151.8,2133.05,2137,2136.35,2142.56,2486345,5327149223.0,77692,1585046,63.75,8,2018,1914.1498157654748,0.002557604767938315,Slight or No change
HDFCBANK,EQ,2018-08-09,2136.35,2142.0,2142.0,2094.65,2119.9,2118.5,2113.99,2236102,4727093946.0,87015,958780,42.88,8,2018,1915.0050649628033,-0.008355372481100853,Slight or No change
HDFCBANK,EQ,2018-08-10,2118.5,2123.5,2123.8,2098.0,2115,2114.45,2113.08,1360735,2875336119.0,55600,719008,52.84,8,2018,1915.5117264945914,-0.0019117299976398883,Slight or No change
HDFCBANK,EQ,2018-08-13,2114.45,2084.0,2103.95,2080.0,2091,2091.65,2086.73,2513563,5245117093.0,125373,1508421,60.01,8,2018,1916.3344079015226,-0.010782945919742604,Slight or No change
HDFCBANK,EQ,2018-08-14,2091.65,2098.0,2105.0,2087.2,2089.3,2089.1,2096.29,1233991,2586799337.0,73903,727048,58.92,8,2018,1916.7296495744974,-0.0012191332201850757,Slight or No change
HDFCBANK,EQ,2018-08-16,2089.1,2083.0,2086.7,2066.4,2075.4,2075.7,2075.3,2656290,5512588626.0,111884,1854512,69.82,8,2018,1917.5086750045584,-0.0064142453688191825,Slight or No change
HDFCBANK,EQ,2018-08-17,2075.7,2082.9,2093.05,2071.65,2077,2077.35,2083.55,1516332,3159352233.0,61019,1093789,72.13,8,2018,1917.954567526136,0.0007949125596184992,Slight or No change
HDFCBANK,EQ,2018-08-20,2077.35,2075.0,2107.6,2075.0,2098.3,2096.2,2097.76,1952784,4096467595.0,106058,1192922,61.09,8,2018,1918.5926282510804,0.009074060702336961,Slight or No change
HDFCBANK,EQ,2018-08-21,2096.2,2098.0,2112.0,2092.65,2097,2096.05,2102.15,1944080,4086746411.0,68551,1421918,73.14,8,2018,1919.2227908447878,-7.155805743708221e-05,Slight or No change
HDFCBANK,EQ,2018-08-23,2096.05,2105.0,2107.0,2076.85,2079.9,2079.9,2089.39,3143638,6568270565.0,106905,2528197,80.42,8,2018,1920.1401609567608,-0.007704968870017481,Slight or No change
HDFCBANK,EQ,2018-08-24,2079.9,2071.0,2093.6,2066.05,2070,2069.85,2076.05,2428657,5042021707.0,71991,1808393,74.46,8,2018,1920.7976112165004,-0.004831963075147883,Slight or No change
HDFCBANK,EQ,2018-08-27,2069.85,2077.0,2088.5,2070.25,2082.95,2080.45,2079.6,3143697,6537626117.0,77365,1913949,60.88,8,2018,1921.7000146700716,0.005121144044254455,Slight or No change
HDFCBANK,EQ,2018-08-28,2080.45,2088.0,2098.25,2078.8,2097.4,2094.85,2085.96,2493383,5201100522.0,56947,1851997,74.28,8,2018,1922.4727904236547,0.0069215794659809315,Slight or No change
HDFCBANK,EQ,2018-08-29,2094.85,2092.15,2094.05,2072.75,2082.9,2078.5,2082.02,2468423,5139296267.0,90836,1782109,72.2,8,2018,1923.1591430740307,-0.00780485476287085,Slight or No change
